Fecha,Tipo,Número Registro,Nombre Comercial,Cantidad,Unidad,Peso,Valor,Modalidad,Importador,Exportador,Pais Origen,Pais Destino,Puerto Ingreso,Componente IAGT
26/7/2024 9:39,Fertilizantes,362,YARAVITA MAGZIBOR / REG MAG 362 (FERTILIZANTES-ABONOS AGRICOLAS),"449,1",LITROS,"449,1",3498,Exportación,ALDEAZON SOCIEDAD ANONIMA,YARA COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA,REINO UNIDO,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Boro expresado (B) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) / Zinc expresado (Zn) /
26/7/2024 9:39,Fertilizantes,83,YARAVITA AGRIPOTASH / REG MAG 83 (FERTILIZANTES / ABONOS AGRICOLAS),"777,5",LITROS,"777,5",5035,Exportación,ALDEAZON SOCIEDAD ANONIMA,YARA COSTA RICA SOCIEDAD DE RESPONSABILIDAD LIMITADA,REINO UNIDO,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Fósforo expresado (P2O5) / Potasio expresado (K2O) /
18/7/2024 9:28,Fertilizantes,9988,Colonofertil Urea,5400,KILOGRAMOS,5400,2640,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
18/7/2024 9:28,Fertilizantes,7577,COLONOFERTIL 10-30-10,19350,KILOGRAMOS,19350,"10384,5",Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,COSTA RICA,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
18/7/2024 9:37,Fertilizantes,9988,Colonofertil Urea,24750,KILOGRAMOS,24750,12100,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
18/7/2024 10:06,Fertilizantes,8142,COLONOFERTIL KCl 0-0-60,9000,KILOGRAMOS,9000,4700,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,BELARÚS (BIELORRUSIA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Potasio expresado (K2O) /
18/7/2024 10:06,Fertilizantes,9988,Colonofertil Urea,9000,KILOGRAMOS,9000,4400,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
18/7/2024 10:06,Fertilizantes,7577,COLONOFERTIL 10-30-10,6750,KILOGRAMOS,6750,"3622,5",Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,COSTA RICA,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
18/7/2024 10:28,Fertilizantes,9988,Colonofertil Urea,11250,KILOGRAMOS,11250,5500,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
18/7/2024 10:28,Fertilizantes,7577,COLONOFERTIL 10-30-10,13500,KILOGRAMOS,13500,7245,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,COSTA RICA,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
